WELL,DEPTH,FORMATION
,METRES,
NO_34/8-11,1076,UTSIRA FM
NO_34/8-11,1102
NO_34/8-11,1360,NO FORMAL NAME
NO_34/8-11,1375,NO FORMAL NAME
NO_34/8-11,1515,NO FORMAL NAME
NO_34/8-11,1540,NO FORMAL NAME
NO_34/8-11,1822,BALDER FM
NO_34/8-11,1869,LISTA FM
NO_34/8-11,2001,JORSALFARE FM
NO_34/8-11,2220,KYRRE FM
NO_34/8-11,2851
NO_34/8-11,2853,DRAUPNE FM
NO_34/8-11,2854,HEATHER FM
NO_34/8-11,2869,TARBERT FM
NO_34/8-11,2883,NESS FM
NO_34/8-11,2908,ETIVE FM
NO_34/8-11,2949,RANNOCH FM
NO_34/8-11,3011,DRAKE FM
NO_34/8-11,3072,COOK FM
NO_34/8-11,3140
NO_34/8-8,1115,UTSIRA FM
NO_34/8-8,1164,NO FORMAL NAME
NO_34/8-8,1190
NO_34/8-8,1368,NO FORMAL NAME
NO_34/8-8,1401,NO FORMAL NAME
NO_34/8-8,1527,NO FORMAL NAME
NO_34/8-8,1559,NO FORMAL NAME
NO_34/8-8,1829,BALDER FM
NO_34/8-8,1873,LISTA FM
NO_34/8-8,1998,JORSALFARE FM
NO_34/8-8,2232,KYRRE FM
NO_34/8-8,2877,SOLA FM
NO_34/8-8,2883,ÅSGARD FM
NO_34/8-8,2901,DRAUPNE FM
NO_34/8-8,2902,HEATHER FM
NO_34/8-8,2921,TARBERT FM
NO_34/8-8,2935,NESS FM
NO_34/8-8,2967,ETIVE FM
NO_34/8-8,3008,RANNOCH FM
NO_34/8-8,3077,DRAKE FM
NO_34/8-8,3123,COOK FM
NO_34/8-8,3260,BURTON FM
NO_34/8-8,3287,AMUNDSEN FM
NO_34/8-8,3388
NO_34/8-8,3474,LUNDE FM
NO_34/8-8,3625
